FID,Lat,Lon,Total_Distance,Total_Capacity,Roads in Grid
85.0,40.3658,-3.54769,16.753744045079628,12.72547392540003,"Set(['', 'Plaza de Arag\xc3\xb3n', 'Palza de la Ca\xc3\xb1ada Real', 'Plaza Pau Casals', 'Avenida V\xc3\xadctimas del Terrorismo', 'La Ca\xc3\xb1ada Real de Merinas', 'Plaza Naranjo de Bulnes', 'Plaza de Canarias', 'Plaza de Clar\xc3\xadn', 'Plaza de Valencia', 'Plaza de Castelao', 'Avenida de la Zarzuela', 'Plaza de Gabriel Celaya', 'Avenida de la Integraci\xc3\xb3n', 'Plaza de Blimea', 'Plaza de los Pirineos', 'Calle Manuel de Falla', 'Paseo de las Provincias', 'Calle de Toledo', 'Paseo de Cantabria', 'Calle de Logro\xc3\xb1o', 'Plaza del Nal\xc3\xb3n', 'Calle de Cuenca', 'Calle de la Pluma', 'Calle Ricardo Zamora', 'Paseo Ferrocarril', 'Calle Enrique Granados', 'Calle Jazm\xc3\xadn', 'Paseo de la Estaci\xc3\xb3n', 'Calle de los Nibelungos', 'Calle Juan Ram\xc3\xb3n Jim\xc3\xa9nez', 'Avenida del Parque de Asturias', 'Calle Libertad', 'Plaza Monte Ciruelo', 'Avenida de Covibar', 'Avenida de los Abogados de Atocha', 'Plaza de Rafael Alberti', 'Calle de la Pintura', 'Avenida de Gabriel Garc\xc3\xada M\xc3\xa1rquez', 'Plaza Pablo Picasso', 'Calle Boras', 'Ronda de Oviedo', 'Calle de C\xc3\xa1ceres', 'Calle de Pamplona', 'Avenida del Deporte', 'Plaza de Madrid', 'Plaza de Asturias'])"
86.0,40.3649,-3.71257,15.824290549712016,23.809610524814634,"Set(['', 'Ronda de las Cooperativas', 'Calle del Empleo Juvenil', 'Calle del Solara', 'Calle de Pradolonguillo', 'Calle Gran Avenida', 'Carretera de Carabanchel a Villaverde', 'Calle de Ordicia', 'Calle Pradolongo', 'Calle del Talbot', 'Calle de Alzola', 'Calle de Gainza', 'Calle Regil', 'Plaza de Jaizqu\xc3\xadbel', 'Calle de Guetaria', 'Calle del Segura', 'Plaza de Elciego', 'Calle de Villabona', 'Calle del Dos Caballos', 'Calle del Tibur\xc3\xb3n', 'Calle del Horizon', 'M-40', 'Avenida de Rafaela Ybarra', 'Calle del Simca', 'Calle del Camino Viejo de Villaverde', 'Test Track', 'Calle de Ybarra', 'Calle de Beasain', 'Calle del Dodge', 'Plaza de Oyarzun'])"
87.0,40.3649,-3.70079,22.771596962406313,24.21813898293841,"Set(['', 'Calle de Salobre\xc3\xb1a', 'Ronda de las Cooperativas', 'Calle de Illora', 'Calle de Fernando Ortiz', 'Calle de Albaic\xc3\xadn', 'Calle Gran Avenida', 'Plaza del Pueblo', 'Calle de Pan y Toros', 'Calle de Menaselbas', 'Santa Escolastica', 'Calle de Eduardo Barreiros', 'Calle de La Canci\xc3\xb3n del Olvido', 'Avenida de La Verbena de la Paloma', 'Calle de Lillo', 'Avenida de los Rosales', 'Calle de N\xc3\xadvar', 'Calle del Alerce', 'Calle de Campot\xc3\xa9jar', 'Calle del Pinsapo', 'Calle de Padre Jos\xc3\xa9 Mar\xc3\xada', 'Calle de D\xc3\xbarcal', 'Calle Menaselbas', 'Calle de Santa Escol\xc3\xa1stica', 'Calle de las Con\xc3\xadferas', 'Calle de La del Manojo de Rosas', 'Eduardo Barreiros', 'Calle Arenas del Rey', 'Calle de Padul', 'M-40', 'Calle de La Corte del Fara\xc3\xb3n', 'Calle de la Tuya', 'Calle de Loja', 'Calle de Lanjar\xc3\xb3n', 'Calle del Simca', 'Calle del Censo', 'Calle de Menasalbas', 'Calle de San Luciano', 'Calle de las Ariz\xc3\xb3nicas', 'Calle del Ginebro', 'Calle de Montefr\xc3\xado', 'Calle de Salvador Mart\xc3\xadnez', 'Calle de Orjiva', 'Calle de Moreja', 'Calle de Graena', 'Avenida de Orcasur', 'Calle de Trev\xc3\xa9lez', 'Calle Macarena', 'Calle de Albu\xc3\xb1uelas'])"
88.0,40.3652,-3.65368,15.597736989961385,25.856041811495867,"Set(['', 'Calle Eje 1', 'Calle Eje 2', 'Calle Eje 11', 'Calle Eje 4', 'Calle Eje 5', 'Calle Eje 6', 'Calle Eje 7', 'Calle Eje 8', 'Calle Eje 9', 'Camino de la China', 'Calle Eje 10', 'Carretera de Villaverde a Vallecas', 'M-31', 'Calle Eje 3', 'Eje Sureste', 'Camino Yeseros', 'M-40', 'Avenida Eje Central', 'Conexi\xc3\xb3n Anillo Verde / Carril Bici Villa de Vallecas'])"
89.0,40.3653,-3.64191,13.52311592994553,9.274231642395367,"Set(['Carretera de Villaverde a Vallecas', '', 'Conexi\xc3\xb3n Anillo Verde / Carril Bici Villa de Vallecas', 'Eje Sureste'])"
90.0,40.3655,-3.5948,19.567798726578907,19.84581839413964,"Set(['', 'Autov\xc3\xada del Este', 'Calle de Mar\xc3\xada Teresa Le\xc3\xb3n', 'Alto del Retiro', 'Calle del Embalse de Navacerrada', 'Calle de Jos\xc3\xa9 Antonio Rebolledo y Palma', 'Calle del Maestro Garc\xc3\xada Navarro', 'Calle de Silvina Ocampo', 'Calle Pilar de Madariaga Rojo', 'Calle del Arte Figurativo', 'Avenida Ensanche de Vallecas', 'Calle de Adolfo Bioy Casares', 'Calle de la Princesa de Kapurtala', 'Calle de la Ca\xc3\xb1ada del Sant\xc3\xadsimo', 'Calle de Rafael de Le\xc3\xb3n', 'Calle de Alejandro Humbolt', 'Calle de Antonio Gades', 'Calle de Juan Antonio Bardem', 'Calle del Alto del Retiro', 'Calle de Jos\xc3\xa9 Tamayo', 'Calle de Adolfo Marsillach', 'Calle del Arte Expresionista', 'Calle del Embalse de El Vell\xc3\xb3n', 'Calle de Frida Kahlo', 'Calle del Embalse de San Juan', 'Calle del Cardenal Vicente Enrique y Taranc\xc3\xb3n', 'Calle de Bernardino de Pantorba', 'Calle de Fernando Chueca Goitia', 'Gran V\xc3\xada del Sureste', 'Avenida de las Suertes'])"
91.0,40.3656,-3.58302,15.95984066103315,33.23194515615337,"Set(['', 'Calle del Cerro del Murmullo', 'Calle Pilar de Madariaga Rojo', 'Calle Arte Pop', 'Autov\xc3\xada del Este', 'Calle del Arte Abstracto', 'Calle del Alto del Retiro', 'Calle de Eduardo Chillida', 'Calle de Valdeculebras', 'Avenida del Cerro Milano', 'Calle del Arte Conceptual', 'Gran V\xc3\xada del Sureste', 'Calle de Jos\xc3\xa9 Antonio Rebolledo y Palma', 'Calle de la Princesa de Kapurtala', 'Avenida de las Suertes', 'Calle del Arte Expresionista'])"
92.0,40.3643,-3.79501,10.316063620480936,23.307595261516607,"Set(['', 'M-40', 'Camino de la Venta de la Rubia'])"
93.0,40.3647,-3.7479,18.588556523964797,37.03486030128248,"Set(['', 'Calle del Cent\xc3\xa9n', 'Calle del Excelente', 'Avenida de Carabanchel Alto', 'Calle Cornada de Navarra', 'Calle Castellano', 'Calle del Duro', 'Calle del Tremis', 'Calle Enrique Mart\xc3\xadn', 'Calle de la Mutual', 'Calle del Tulipero', 'Calle de la Haya', 'Calle del Cidro', 'Avenida de la Peseta', 'Calle de Las Once Vigas', 'Calle del Flor\xc3\xadn', 'Carretera Plaza El\xc3\xadptica', 'Calle del Sueldo', 'Calle de la Corona', 'Avenida del Euro', 'Calle de la Secoya', 'Calle del Dobler', 'Calle de la Blanca', 'M-40', 'Calle del Aguacate', 'Calle del Trent\xc3\xadn', 'Calle de Luis de Oro', 'Calle Murallas de \xc3\x81vila', 'Calle del Ducado', 'Carretera de Legan\xc3\xa9s', 'Calle del Croat', 'Calle del Sous de Plata', 'Calle de la Mealla', 'Calle del Cincuent\xc3\xadn', 'Calle del Ardite', 'Calle del Real', 'Calle del Dinero', 'Calle Catorce Olivas', 'Calle del Peso Hispano', 'Calle del Cuarto', 'Calle del Maraved\xc3\xad', 'V\xc3\xada Lusitana'])"
94.0,40.3643,-3.80679,14.6661549828157,16.73522209599512,"Set(['', 'Carretera a la Venta de la Rubia', 'Calle General Soriano', 'Calle del General Pedro Vives', 'Avenida de la Aviaci\xc3\xb3n Espa\xc3\xb1ola', 'Calle Joaqu\xc3\xadn Garc\xc3\xada Morato', 'Calle de Emilio Herrera', 'Autov\xc3\xada del Suroeste', 'Avenida del Museo', 'Calle del General Alfredo Kindel\xc3\xa1n', 'Vereda de Castilla', 'Paseo Barber\xc3\xa1n y Collar', 'Calle del Capit\xc3\xa1n Celestino Bayo', 'Calle de Capit\xc3\xa1n Haya'])"
