name,lanes,road_capacity_from_conversion,highway,oneway,road_capacity
N31c,,1,residential,,0.1510898316
N31b,,1,residential,,0.13225081092
N31b,,1,residential,,0.113448143976
,,1,residential,,0.0980573313701
M. de Utreras,,1,residential,,0.0914818127389
Martin de Utreras,,1,unclassified,no,0.254474446437
De Comin,,1,unclassified,,0.101703991919
Mariscal Foch,,1,residential,yes,0.598459421439
Joaquin Pinto,,1,residential,yes,0.190863170498
Wilson,,1,residential,,0.196994036674
José Murillo,,1,residential,,0.0664241999582
,,1,service,,0.219027762152
Santa María,,1,residential,yes,0.717327152252
Zamba,,1,residential,,0.1973287124
Ave. Mariana de Jesús,,3,secondary,yes,3.18013315593
Jose Valentin,,1,residential,,0.275709698116
Avenida Florida,,2,tertiary,yes,1.50956359943
E. Blanco,,1,residential,,0.170632703753
Ingapirca,,1,residential,,0.246728312236
Zaparos,,1,residential,,0.181686455831
Yumbos,,1,residential,,0.16595991594
Erazo Jorge Teniente,,1,residential,,0.620660000867
Jibaros,,1,residential,,0.136696490748
De la Canela,,1,residential,,0.266153465718
E2,,1,residential,,0.122518311076
E2a,,1,residential,,0.0917903866338
De Izazaga,,1,residential,,0.0494783584787
Pasaje Maldonado,,1,residential,,0.045458084889
Telegrafo,,1,residential,,0.166925181295
Miranda,,1,residential,,0.0813534563911
Carlos Ibarra,,1,residential,,0.164217417701
Agustin Mentoso,,1,unclassified,,0.264909108474
Miguel Bedoya,,1,residential,,0.0473773211868
Romo,,1,residential,,0.12189060336
Calle Miranda,,1,residential,,0.0946434084667
Jose Mino,,1,residential,,0.177160203076
Calle Miranda,,1,unclassified,,0.0894753869877
Gangotena,,1,residential,-1,0.251252590262
Andalucía,,1,residential,yes,0.409775527725
Mélaga,,1,residential,,0.133646257372
Fernando Davalos,,1,residential,,0.0757329186757
Juan de Velasco,,1,unclassified,no,0.241732906433
R. de Triana,,1,residential,yes,0.235962612336
Enrique Gangotena,,1,residential,yes,0.252147116671
La Pinta,,1,residential,yes,0.36360225803
Nicolas Lopez,,1,residential,,0.328591691787
