name,lanes,road_capacity_from_conversion,highway,oneway,distance,road_capacity
Carleton Street,2,1,residential,no,0.156424087505,0.31284817501
Broad Canal Street,,1,residential,,0.228107188313,0.456214376627
,1,4,trunk_link,yes,0.048257361776,0.193029447104
David G. Mugar Way,2,3,secondary,yes,0.0932424965158,0.279727489547
Vail Court,1,1,residential,,0.0859112540058,0.171822508012
Fifth Street,2,1,residential,,0.103765642795,0.20753128559
,,1,service,,0.153131351204,0.306262702408
Sidney Place,,1,residential,yes,0.0758922090739,0.0758922090739
Franklin Street,2,1,residential,yes,0.174645486565,0.174645486565
,,1,service,,0.196725637318,0.393451274635
,,1,service,,0.110047862489,0.220095724979
Soden Street,1,1,residential,,0.156612228639,0.313224457278
State Street,2,1,residential,yes,0.307194894715,0.307194894715
Norfolk Terrace,1,1,residential,,0.0378453416575,0.0756906833151
Grove Avenue,2,1,service,,0.103348876538,0.206697753077
Waverly Street,2,3,secondary,,0.230046286182,1.38027771709
Bristol Street,2,1,residential,,0.188449503653,0.376899007307
Sidney Street,2,3,secondary,yes,0.646070109221,1.93821032766
Erie Street,2,3,secondary,,0.133328963167,0.799973779004
Eaton Street,2,1,residential,,0.0698312507341,0.139662501468
Erie Street,2,1,residential,yes,0.310463142552,0.310463142552
Elm Street,2,1,residential,yes,0.274686131997,0.274686131997
Westacott Court,,1,residential,,0.0905181742252,0.18103634845
Chalk Street,1,1,residential,yes,0.171474971818,0.171474971818
Allston Street,2,1,residential,yes,0.542058691018,0.542058691018
,,1,service,,0.0436797192428,0.0873594384855
Storrow Drive,2,4,trunk,yes,1.38069868127,5.52279472508
Bristol Street,2,1,residential,yes,0.171461594138,0.171461594138
Public Alley 419,1,1,service,,0.18691563401,0.37383126802
Lamson Place,1,1,residential,,0.0451174025107,0.0902348050213
Acorn Street,2,1,residential,,0.104671130425,0.209342260851
Smart Street,1,1,residential,,0.151032442333,0.302064884665
Berkshire Street,2,1,residential,yes,0.427487299702,0.427487299702
Prospect Street,2,3,secondary,,0.442594593077,2.65556755846
Western Avenue,4,3,secondary,yes,0.254779583087,0.76433874926
Massachusetts Avenue,4,3,primary,,0.851853158293,5.11111894976
Massachusetts Avenue,4,3,primary,,0.147731375907,0.886388255443
,,4,trunk_link,yes,0.0438315430643,0.175326172257
Essex Street,2,1,residential,yes,0.265991136633,0.265991136633
,,1,unclassified,,0.141287302691,0.282574605383
,,1,residential,,0.0796442305916,0.159288461183
Cottage Street,1,1,residential,yes,0.316953600276,0.316953600276
Washington Street,2,1,residential,yes,0.392248253082,0.392248253082
,,1,service,,0.125002536066,0.250005072132
,,1,service,,0.130651084263,0.261302168525
Pleasant Street,1,3,secondary,yes,0.195589230816,0.586767692448
,,1,service,,0.146986593148,0.293973186297
Land Boulevard,2,4,trunk,yes,0.16868530109,0.674741204358
Henry Street,2,1,residential,,0.117056533326,0.234113066653
Museum Way,,1,residential,,0.0186193919922,0.0372387839844
Watson Street,2,1,residential,yes,0.151618059967,0.151618059967
Valentine Street,1,1,residential,no,0.159833515637,0.319667031274
Linskey Way,2,1,residential,,0.2307851643,0.461570328601
Essex Street,2,2,tertiary,yes,0.112163304816,0.224326609632
Clinton Street,2,1,residential,yes,0.278507496767,0.278507496767
,2,4,trunk_link,yes,0.0843187155746,0.337274862298
Landsdowne Street,2,2,tertiary,no,0.398915527382,1.59566210953
Emily Street,2,1,residential,yes,0.147671344648,0.147671344648
Hastings Square,2,1,residential,,0.102568699781,0.205137399563
Public Alley 441,1,1,service,,0.20087261127,0.401745222541
Public Alley 418,1,1,service,,0.189115955428,0.378231910855
Clarendon Street,2,3,secondary,yes,0.517732585635,1.55319775691
Main Street,2,3,secondary,,0.0352580179502,0.211548107701
Marlborough Street,2,1,residential,yes,1.2866233538,1.2866233538
Public Alley 426,1,1,service,,0.201083423914,0.402166847828
West Hill Place,2,1,residential,,0.0439515594832,0.0879031189664
Fairfield Street,2,1,residential,yes,0.421474831747,0.421474831747
Public Alley 431,1,1,service,,0.132943688447,0.265887376894
Green Street,2,1,residential,yes,0.184325391455,0.184325391455
Granby Street,2,1,residential,yes,0.0965693990864,0.0965693990864
Public Alley 416,1,1,service,yes,0.170980683986,0.170980683986
David G. Mugar Way,,1,residential,,0.0915899248259,0.183179849652
Beaver Street,2,1,residential,,0.0604410401426,0.120882080285
Lime Street,2,1,residential,yes,0.112533115754,0.112533115754
Chestnut Street,2,1,residential,yes,0.227133263927,0.227133263927
,1,4,trunk_link,yes,0.228176797376,0.912707189503
,1,3,primary_link,yes,0.0508757368114,0.152627210434
Beacon Street,4,3,secondary,yes,0.343402302237,1.03020690671
Otis Place,2,1,residential,,0.0291828369586,0.0583656739171
Sidney Street Extension,2,3,secondary,no,0.0491810494692,0.295086296815
,1,3,secondary_link,yes,0.0408157854964,0.122447356489
Public Alley 427,1,1,service,,0.17106460801,0.342129216019
Public Alley 423,1,1,service,,0.188105185866,0.376210371732
Commonwealth Avenue,2,3,primary,yes,1.74656957092,5.23970871277
Public Alley 417,1,1,service,,0.20115546933,0.40231093866
Amherst Street,2,1,residential,,0.0318779956183,0.0637559912366
,2,4,trunk_link,yes,0.276175872974,1.1047034919
Public Alley 440,1,1,service,,0.188065767268,0.376131534536
Public Alley 908,1,1,service,,0.181133896506,0.362267793012
Raleigh Street,1,1,residential,,0.0741879268461,0.148375853692
Revere Street,2,1,residential,yes,0.474917122073,0.474917122073
,2,3,secondary_link,yes,0.0309731622069,0.0929194866207
Public Alley 435,1,1,service,,0.187521820397,0.375043640794
,,3,primary_link,yes,0.0480421687877,0.144126506363
,,1,service,,0.428818750886,0.857637501773
Bay State Road,2,2,tertiary,yes,0.619561907337,1.23912381467
Magazine Street,2,1,service,,0.0503323228738,0.100664645748
Blanche Street,1,1,residential,yes,0.0824255469557,0.0824255469557
Franklin Street,2,1,residential,yes,0.159823513966,0.159823513966
Pinckney Street,2,1,residential,yes,0.595434355074,0.595434355074
Boylston Street,3,3,secondary,yes,1.24703688389,3.74111065167
,1,4,trunk_link,yes,0.0844595235717,0.337838094287
Beaver Place,2,1,residential,yes,0.140824604328,0.140824604328
,1,4,trunk_link,yes,0.167586950284,0.670347801137
Brimmer Street,2,1,residential,yes,0.151573553573,0.151573553573
Embankment Road,3,4,trunk,yes,0.81001435838,3.24005743352
Public Alley 421,1,1,service,,0.206021261254,0.412042522508
Public Alley 434,1,1,service,,0.188368885754,0.376737771507
Hinsdale Mall,2,1,service,,0.0815976113842,0.163195222768
Back Street,1,1,residential,,0.144555928049,0.289111856099
Public Alley 429,1,1,service,,0.217804079258,0.435608158515
Auburn Street,1,1,residential,yes,0.0553118404381,0.0553118404381
Pleasant Street,2,1,residential,no,0.0205234004144,0.0410468008287
Hereford Street,2,3,secondary,yes,0.422752370891,1.26825711267
Exeter Street,2,1,residential,,0.060727424783,0.121454849566
,4,4,trunk_link,yes,0.198342364884,0.793369459535
Charlesgate East,2,3,secondary,yes,0.235906027568,0.707718082705
Dartmouth Street,2,1,residential,yes,0.0598514192116,0.0598514192116
,1,4,trunk_link,yes,0.112237930978,0.448951723914
Storrow Drive,3,4,trunk,yes,1.55270592417,6.21082369669
Deerfield Street,2,1,residential,,0.186616965144,0.373233930288
Massachusetts Turnpike,4,4,motorway,yes,0.30741955932,1.22967823728
Saint Mary's Street,2,2,tertiary,yes,0.0537248091659,0.107449618332
Public Alley 433,1,1,service,,0.200952091152,0.401904182304
,,1,service,,0.253051689651,0.506103379303
Public Alley 415,1,1,service,yes,0.132490755992,0.132490755992
Public Alley 438,1,1,service,,0.207994891144,0.415989782289
Charles River Square,2,1,residential,,0.0659075016136,0.131815003227
Massachusetts Turnpike,4,4,motorway,yes,0.263734901735,1.05493960694
Newbury Street,1,2,tertiary,yes,1.49434610016,2.98869220031
Dartmouth Street,2,2,tertiary,yes,0.42154576744,0.84309153488
Silber Way,2,2,tertiary,,0.106051068548,0.424204274192
,1,4,trunk_link,yes,0.0580226590972,0.232090636389
,,1,residential,,0.01744606552,0.0348921310401
Silber Way,2,1,residential,,0.0498450530305,0.099690106061
Public Alley 439,1,1,service,,0.187755246945,0.375510493891
Public Alley 420,1,1,service,,0.188118481354,0.376236962708
Commonwealth Avenue,3,3,primary,yes,0.158849180623,0.476547541869
Embankment Road,3,4,trunk,yes,0.897888342192,3.59155336877
Public Alley 425,1,1,service,,0.188845076387,0.377690152774
Public Alley 422,1,1,service,,0.205984851874,0.411969703748
Public Alley 437,1,1,service,,0.207322633798,0.414645267596
Public Alley 414,1,1,service,yes,0.217848229889,0.217848229889
Back Street,1,1,residential,,0.247429230764,0.494858461528
Saint James Avenue,2,3,primary,yes,0.18679204624,0.56037613872
,,1,service,,0.0507951540542,0.101590308108
,,1,service,,0.192712314871,0.385424629741
Marlborough Street,2,1,residential,yes,0.212389327077,0.212389327077
Mount Vernon Street,2,1,residential,,0.53804558844,1.07609117688
Public Alley 428,1,1,service,,0.132665267059,0.265330534118
University Road,2,3,primary,,0.105295948831,0.631775692985
Memorial Drive,2,4,trunk,yes,0.187606681055,0.750426724218
,3,4,trunk_link,yes,0.107920176193,0.431680704771
Public Alley 424,1,1,service,,0.187134755122,0.374269510243
Public Alley 432,1,1,service,,0.171125403444,0.342250806888
,1,4,trunk_link,yes,0.13725824059,0.549032962361
Bay State Road,2,1,residential,yes,0.255191466745,0.255191466745
,1,1,residential,yes,0.208472417756,0.208472417756
Hereford Street,2,1,residential,,0.0599563623045,0.119912724609
Clarendon Street,1,3,secondary,yes,0.0607090238455,0.182127071537
Public Alley 436,1,1,service,,0.188071187252,0.376142374503
Commonwealth Avenue,2,3,primary_link,yes,0.154767123241,0.464301369722
Storrow Drive,2,4,trunk,yes,0.391850545522,1.56740218209
Sidney Street,2,3,secondary,no,0.376985382736,2.26191229642
Gloucester Street,2,1,residential,,0.0606685157856,0.121337031571
Beacon Street,4,3,secondary,,0.0293403848139,0.176042308883
Babbitt Street,2,1,service,,0.130111924629,0.260223849258
Saint James Avenue,2,3,secondary,,0.207640516316,1.2458430979
,2,4,trunk_link,yes,0.0487461329131,0.194984531652
,,1,service,,0.254609552589,0.509219105179
Massachusetts Turnpike,4,4,motorway,yes,0.348864592471,1.39545836989
Longfellow Bridge,2,4,trunk,yes,0.0454204795698,0.181681918279
,,1,service,,0.0349124690038,0.0698249380076
,1,4,trunk_link,yes,0.18706669131,0.748266765242
