FID,Lat,Lon,Total_Distance,Total_Capacity
58,40.8624999999,-73.9124999999999,0.0,0.0
59,40.8624999999,-73.9041666666999,0.0,0.0
60,40.8624999999,-73.8958333334,0.0,0.0
61,40.8624999999,-73.8875,0.0,0.0
62,40.8624999999,-73.8791666667,0.0,0.0
63,40.8624999999,-73.8708333334,0.0,0.0
64,40.8624999999,-73.8624999999999,0.0,0.0
65,40.8624999999,-73.8541666666999,0.0,0.0
66,40.8624999999,-73.8458333333999,0.0,0.0
67,40.8624999999,-73.8375,0.0,0.0
68,40.8624999999,-73.8291666667,0.0,0.0
69,40.8624999999,-73.8208333334,0.0,0.0
70,40.8541666666,-73.9375,0.0,0.0
71,40.8541666666,-73.9291666666999,0.0,0.0
72,40.8541666666,-73.9208333333999,0.0,0.0
73,40.8541666666,-73.9124999999999,0.0,0.0
74,40.8541666666,-73.9041666666999,0.0,0.0
75,40.8541666666,-73.8958333334,0.0,0.0
76,40.8541666666,-73.8875,0.0,0.0
77,40.8541666666,-73.8791666667,0.0,0.0
78,40.8541666666,-73.8708333334,0.0,0.0
79,40.8541666666,-73.8624999999999,0.0,0.0
80,40.8541666666,-73.8541666666999,0.0,0.0
81,40.8541666666,-73.8458333333999,0.0,0.0
82,40.8541666666,-73.8375,0.0,0.0
83,40.8541666666,-73.8291666667,0.0,0.0
84,40.8541666666,-73.8208333334,0.0,0.0
85,40.8458333333,-73.9375,0.0,0.0
86,40.8458333333,-73.9291666666999,0.0,0.0
87,40.8458333333,-73.9208333333999,0.0,0.0
88,40.8458333333,-73.9124999999999,0.0,0.0
89,40.8458333333,-73.9041666666999,0.0,0.0
90,40.8458333333,-73.8958333334,0.0,0.0
91,40.8458333333,-73.8875,0.0,0.0
92,40.8458333333,-73.8791666667,0.0,0.0
93,40.8458333333,-73.8708333334,0.0,0.0
94,40.8458333333,-73.8624999999999,0.0,0.0
95,40.8458333333,-73.8541666666999,0.0,0.0
96,40.8458333333,-73.8458333333999,0.0,0.0
97,40.8458333333,-73.8375,0.0,0.0
98,40.8458333333,-73.8291666667,0.0,0.0
99,40.8458333333,-73.8208333334,0.0,0.0
100,40.8374999998999,-73.9458333334,0.0,0.0
101,40.8374999998999,-73.9375,0.0,0.0
102,40.8374999998999,-73.9291666666999,0.0,0.0
103,40.8374999998999,-73.9208333333999,0.0,0.0
104,40.8374999998999,-73.9124999999999,0.0,0.0
105,40.8374999998999,-73.9041666666999,0.0,0.0
106,40.8374999998999,-73.8958333334,0.0,0.0
107,40.8374999998999,-73.8875,0.0,0.0
108,40.8374999998999,-73.8791666667,0.0,0.0
109,40.8374999998999,-73.8708333334,0.0,0.0
110,40.8374999998999,-73.8624999999999,0.0,0.0
111,40.8374999998999,-73.8541666666999,0.0,0.0
112,40.8374999998999,-73.8458333333999,0.0,0.0
113,40.8374999998999,-73.8375,0.0,0.0
114,40.8374999998999,-73.8291666667,0.0,0.0
115,40.8374999998999,-73.8208333334,0.0,0.0
116,40.8374999998999,-73.8125,0.0,0.0
117,40.8291666666,-73.9458333334,0.0,0.0
118,40.8291666666,-73.9375,0.0,0.0
119,40.8291666666,-73.9291666666999,0.0,0.0
120,40.8291666666,-73.9208333333999,0.0,0.0
121,40.8291666666,-73.9124999999999,0.0,0.0
122,40.8291666666,-73.9041666666999,0.0,0.0
123,40.8291666666,-73.8958333334,0.0,0.0
124,40.8291666666,-73.8875,0.0,0.0
125,40.8291666666,-73.8791666667,0.0,0.0
126,40.8291666666,-73.8708333334,0.0,0.0
127,40.8291666666,-73.8624999999999,0.0,0.0
128,40.8291666666,-73.8541666666999,0.0,0.0
129,40.8291666666,-73.8458333333999,0.0,0.0
130,40.8291666666,-73.8375,0.0,0.0
131,40.8291666666,-73.8291666667,0.0,0.0
132,40.8291666666,-73.8208333334,0.0,0.0
133,40.8291666666,-73.8125,0.0,0.0
134,40.8291666666,-73.8041666666999,0.0,0.0
135,40.8208333333,-73.9541666667,0.0,0.0
136,40.8208333333,-73.9458333334,0.0,0.0
137,40.8208333333,-73.9375,0.0,0.0
