name,lanes,road_capacity_from_conversion,highway,oneway
Calle de San Gregorio,,1,residential,
Calle del Siete de Julio,,1,pedestrian,
Paseo de la Chopera,,2,tertiary,yes
Calle de San Felipe Neri,,1,pedestrian,
Calle de los Embajadores,,3,secondary,yes
Calle de los Embajadores,,3,secondary,yes
Calle de Sebastián Elcano,,1,residential,yes
Calle de Santa Cruz de Marcenado,1,1,residential,yes
Calle de Alonso del Barco,,1,pedestrian,
Calle de los Embajadores,,3,secondary,yes
Calle del Ferrocarril,6,3,secondary,yes
Calle de las Postas,,1,pedestrian,
Avenida del Arco de la Victoria,,3,primary,yes
Glorieta de las Pirámides,,3,primary,
Paseo Imperial,,2,tertiary,yes
Paseo Imperial,,2,tertiary,yes
Paseo Imperial,,2,tertiary,yes
Calle de San Cristóbal,,1,pedestrian,
Ronda de Segovia,,3,secondary,yes
Ronda de Segovia,,3,secondary,yes
Ronda de Segovia,,1,residential,yes
Ronda de Segovia,,3,secondary,yes
Plaza del Emperador Carlos V,6,3,primary,yes
Plaza de la Cibeles,5,3,primary,yes
Plaza de Cánovas del Castillo,2,2,tertiary,yes
Avenida de la Ciudad de Barcelona,4,3,primary,yes
Paseo de la Reina Cristina,2,3,primary,yes
Calle del Clavel,,1,residential,yes
,1,4,motorway_link,yes
Calle de Segovia,,3,secondary,
,,1,service,yes
Calle de Los Reyes,1,1,residential,yes
,,1,service,
Calle de San Bernardino,,1,residential,yes
Calle de los Dos Amigos,,1,residential,yes
Calle de Ponciano,,1,residential,yes
Calle de Juan de Dios,,1,residential,yes
Calle de San Leonardo,,1,residential,yes
Calle del Limón,,1,residential,yes
Calle de Manuel,,1,residential,
Calle del Duque de Osuna,,1,residential,
Calle Arquitectura,,1,residential,yes
Calle Arquitectura,,1,pedestrian,
Calle de las Peñuelas,,1,residential,yes
Calle de las Peñuelas,,1,residential,yes
Calle de Ercilla,,1,residential,yes
Paseo de Santa María de la Cabeza,2,3,secondary,yes
Calle de Toledo,,1,pedestrian,
Paseo de Santa María de la Cabeza,3,3,secondary,yes
,,1,service,
Calle del Conde de Xiquena,,1,residential,yes
Paseo de las Delicias,5,3,primary,yes
Paseo de Yeserías,,2,tertiary,
,,1,service,
Calle de Jaime I El Conquistador,,2,tertiary,yes
Calle de Jaime I El Conquistador,,2,tertiary,yes
Paseo de Yeserías,2,2,tertiary,yes
Paseo de Yeserías,1,2,tertiary,yes
Calle Ciudad Rodrigo,,1,pedestrian,
Calle de los Mártires de Alcalá,,1,residential,yes
Calle de O'Donnell,,3,primary,yes
Calle de Bordadores,,1,residential,yes
Travesía del Arenal,,1,pedestrian,
Calle de Silva,,1,residential,yes
Plaza de Santa Cruz,,1,living_street,yes
Calle de Serrano Jover,2,1,residential,yes
Calle de Almagro,,3,secondary,yes
Calle de Almagro,2,3,secondary,yes
Calle de Montserrat,,1,residential,yes
Travesía del Conde Duque,,1,residential,yes
Calle de Los Reyes,,1,residential,yes
Calle de Los Reyes,,1,residential,yes
,,1,residential,yes
Calle de la Flor Baja,,1,residential,yes
Calle de Leganitos,,1,residential,yes
Calle del Río,,1,residential,yes
Calle de San Felipe Neri,,1,residential,yes
Plaza de Santo Domingo,,1,residential,yes
Plaza de Santo Domingo,,1,residential,yes
Plaza de Santo Domingo,,1,pedestrian,
Calle de San Bernardo,4,3,secondary,no
Calle de Campomanes,,1,residential,yes
Calle del Barquillo,,1,residential,yes
Calle de Torija,,1,residential,yes
Avenida de la Ciudad de Barcelona,3,3,primary,yes
Calle de Columela,,1,residential,yes
Calle del Conde de Aranda,,1,residential,yes
Calle de Villanueva,,1,residential,yes
Calle de Campoamor,,1,residential,yes
Calle de Hortaleza,,2,tertiary,yes
Calle de León Gil de Palacio,,1,residential,
Calle de las Canarias,1,1,residential,yes
Calle de Áncora,2,1,residential,yes
Avenida del Mediterráneo,2,3,primary,no
Calle de las Delicias,,1,residential,yes
Calle de Murcia,,1,residential,yes
Calle de Vizcaya,,1,residential,yes
Calle de la Bolsa,,1,living_street,yes
Calle de Atocha,,2,tertiary,yes
,,1,service,
Plaza del Comandante Las Morenas,,1,pedestrian,
Plaza Segovia Nueva,,2,tertiary,yes
Calle de la Cava Baja,,1,residential,yes
Calle de la Cava Alta,,1,residential,yes
Calle de Bailén,,3,primary,
Calle de Don Pedro,,1,residential,no
Calle de Don Pedro,,1,pedestrian,
Calle de Alfonso VI,,1,pedestrian,
Costanilla de San Andrés,,1,residential,yes
Costanilla de San Andrés,,1,pedestrian,
Calle de los Mancebos,,1,residential,yes
Calle del Príncipe de Anglona,,1,pedestrian,
Calle de Luis Camoens,,1,residential,yes
Avenida de Menéndez Pelayo,,1,residential,
Avenida de Menéndez Pelayo,6,3,primary,no
Calle de Tortosa,,1,residential,yes
Calle de Latoneros,,1,pedestrian,
Calle Batalla del Salado,,1,residential,yes
Calle de Rafael de Riego,,1,residential,yes
Calle de Tortosa,,1,residential,yes
Calle de Cavanilles,,1,residential,
Calle de Bustamante,,1,residential,yes
Calle de Bustamante,,3,secondary,yes
Calle de Valderribas,,1,residential,yes
Calle de Tarragona,1,1,residential,yes
Calle de Martín Soler,,1,residential,yes
Calle de Pedro Unanue,,1,residential,yes
Calle de Ramírez de Prado,2,3,secondary,yes
Calle de Vara del Rey,,1,residential,yes
Calle de Juan Martín El Empecinado,1,1,residential,yes
Calle Villa del Prado,,1,residential,yes
Calle de Andrés Torrejón,,1,residential,yes
Calle de Fuenterrabía,,1,residential,yes
Calle de Julián Gayarre,,1,residential,yes
Calle de Gutenberg,,1,residential,yes
Calle Alberche,,1,living_street,yes
Calle Cocheras,,1,residential,
Calle de Vandergoten,,1,residential,yes
Calle Juan Valera,,1,residential,-1
Avenida de Menéndez Pelayo,,3,secondary,no
Calle de Luis Camoens,,1,residential,yes
Calle de Gutenberg,,1,residential,
,,1,residential,yes
,,1,residential,yes
,,1,service,
Calle del Poeta Esteban de Villegas,,1,residential,yes
Calle del General Díaz Porlier,,1,residential,yes
Calle Espartinas,,1,residential,yes
Calle de José Ortega y Gasset,,2,tertiary,yes
Avenida de Menéndez Pelayo,3,3,primary,yes
Calle de Velázquez,4,2,tertiary,yes
Calle de Hermosilla,,1,residential,yes
Carretera de Castilla,3,4,trunk,no
Plaza de la República de Chile,,3,secondary,yes
Paseo de Ruperto Chapí,,3,secondary,yes
Avenida de Menéndez Pelayo,3,3,primary,yes
Calle de Granada,,1,residential,yes
Avenida de Menéndez Pelayo,3,3,primary,yes
Calle de Cavanilles,,1,residential,yes
Calle de Castelló,,1,residential,yes
Calle de Cavanilles,,1,residential,yes
,,1,residential,yes
Túnel de Atocha,,3,primary,yes
Calle del Marqués de Valdeiglesias,,1,residential,yes
Avenida del Mediterráneo,,1,residential,yes
Calle de Téllez,,1,residential,no
Paseo del Marqués de Monistrol,3,4,motorway,yes
Avenida de la Ciudad de Barcelona,,1,residential,
Calle de Narciso Serra,,1,residential,yes
Ronda de Valencia,,1,unclassified,yes
Avenida de Méjico,,1,pedestrian,
Calle de Abtao,,1,residential,yes
M-30,3,4,motorway,yes
,1,4,motorway_link,yes
,2,4,motorway_link,yes
,2,4,motorway_link,yes
Calle de Francisca Moreno,,1,residential,yes
Calle del Comercio,,1,residential,yes
Avenida del Mediterráneo,2,3,primary,yes
Plaza del Emperador Carlos V,6,3,primary,yes
Calle Alberche,,1,pedestrian,
,,3,primary,yes
Calle de Vandergoten,,1,residential,yes
Calle del Doce de Octubre,2,1,residential,yes
Plaza del Campillo del Mundo Nuevo,,1,residential,
Paseo Infanta Isabel,7,3,primary,
Calle del Comercio,2,3,primary,yes
Travesía de Téllez,,1,residential,
Calle del Comercio,2,3,primary,yes
Calle del Comercio,6,3,primary,
Plaza de la República de Chile,,3,secondary,yes
Paseo Senda del Rey,,1,residential,yes
Avenida de Séneca,2,3,secondary,yes
,1,3,secondary,yes
Paseo de Extremadura,2,3,secondary,
Glorieta de Bilbao,,3,primary,yes
Calle de Carranza,4,3,primary,yes
Calle de Carranza,4,3,primary,yes
,,1,service,no
Calle de Écija,,1,residential,yes
Paseo del Pintor Rosales,,3,secondary,yes
Calle de Martín de los Heros,,1,pedestrian,yes
Calle de Juan Álvarez Mendizábal,,1,residential,yes
Calle del Marqués Viudo de Pontejos,,1,pedestrian,
Plaza de la Puerta de Moros,,1,residential,
Plaza de la Puerta de Moros,,1,pedestrian,
Plaza de San Andrés,,1,pedestrian,
Calle de Benito Gutiérrez,,1,residential,yes
Calle de Altamirano,,1,residential,yes
,,1,pedestrian,
Calle del General Ricardos,4,3,primary,no
Calle del Conde Duque,,1,residential,
Calle de San Hermenegildo,,1,residential,yes
Calle de Quiñones,,1,living_street,yes
Calle del Norte,1,1,residential,-1
Calle de Noviciado,,1,residential,-1
Calle de Cristo,,1,pedestrian,
Calle de Bernardo López García,,1,residential,
Calle de San Dimas,1,1,residential,yes
Calle de Alberto Aguilera,,3,primary,yes
Calle de las Negras,,1,residential,
Calle de Baltasar Gracián,,1,residential,yes
Calle del Lazo,,1,residential,yes
Calle del Conde de Lemos,,1,residential,yes
Calle de Santa Clara,,1,residential,yes
Calle de la Amnistía,,1,residential,yes
Plaza de las Moreras,,1,unclassified,
Camino del Casón,,1,unclassified,
,1,4,motorway_link,yes
,1,4,motorway_link,yes
,1,4,motorway_link,yes
Paseo de la Virgen del Puerto,3,4,motorway,yes
Callejón de Preciados,,1,pedestrian,
Calle del Maestro Victoria,,1,pedestrian,
Plaza de Celenque,,1,residential,yes
Calle Tahona de las Descalzas,,1,residential,
Calle de Tetuán,,1,residential,
Calle de Tetuán,,1,living_street,
Paseo de la Venta de Batán,,1,unclassified,yes
,,1,service,yes
Paseo del Robledal,,1,unclassified,no
Paseo de los Castaños,,1,unclassified,
Paseo Azul,2,1,unclassified,yes
Paseo de Torrecilla,,1,unclassified,yes
Paseo Piñonero,1,1,unclassified,yes
Calle Beatriz Galindo,,1,residential,yes
Calle de Los Madrazo,,1,residential,yes
Calle del Príncipe de Anglona,,1,residential,
Calle de la Redondilla,,1,residential,yes
Calle del Alamillo,,1,residential,yes
Calle de la Morería,,1,residential,-1
Plaza del Alamillo,,1,pedestrian,
Plaza de la Cebada,,1,residential,
Calle del Toro,,1,pedestrian,
Plaza del Granado,,1,residential,yes
Avenida del Arco de la Victoria,,1,residential,yes
Paseo de Moret,4,3,secondary,yes
Calle Angosta de los Mancebos,,1,residential,yes
,3,1,unclassified,yes
Calle del Granado,,1,residential,yes
Paseo del Robledal,,1,unclassified,yes
Camino del Ruiseñor,,1,unclassified,
Puente de las Siete Hermanas,,1,unclassified,
Carretera Parque de Atracciones,,1,unclassified,no
,,1,unclassified,
,,1,unclassified,yes
,,1,unclassified,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
,,1,pedestrian,
Calle Botoneras,,1,pedestrian,
,,1,pedestrian,
Calle de la Fresa,,1,pedestrian,
Calle de Lisboa,,1,residential,yes
Calle del Marqués Viudo de Pontejos,,1,living_street,
Paseo de la Venta de Batán,,1,residential,yes
Calle de la Lechuga,,1,residential,yes
Calle de el Salvador,,1,residential,yes
Plaza de San Miguel,,1,service,yes
,,1,pedestrian,
Calle de Víctor Hugo,,1,residential,yes
Calle del Marqués de Casa Riera,,1,residential,yes
Paseo de los Castaños,,1,unclassified,
Plaza de la Puerta del Sol,,2,tertiary,yes
,,1,service,
,,1,residential,
Calle de la Ribera del Manzanares,,1,residential,yes
Calle de la Ribera del Manzanares,,1,residential,yes
Calle de Loeches,2,1,residential,no
Avenida de Valladolid,4,3,secondary,no
Calle Ricla,,1,unclassified,
Calle Escalonilla,,1,unclassified,
Carretera de Castilla,1,4,trunk_link,yes
Carretera de Castilla,1,4,trunk_link,yes
Carretera de Castilla,2,4,trunk,yes
Carretera de Castilla,1,4,trunk,yes
Carretera de Castilla,2,4,trunk_link,yes
Avenida de Valladolid,2,3,secondary,yes
