FID,Lat,Lon,Total_Distance,Total_Capacity
199.0,40.4006,-3.76008,21.515529273270698,32.738786097501205
201.0,40.4016,-3.59511,0.0,0.0
202.0,40.4016,-3.58333,0.0,0.0
204.0,40.4095,-3.78375,0.0,0.0
205.0,40.4101,-3.67769,0.0,0.0
206.0,40.4102,-3.6659,0.0,0.0
207.0,40.4108,-3.55984,0.0,0.0
208.0,40.4095,-3.77197,0.48831421003026926,0.48831421003026926
209.0,40.4108,-3.54805,0.0,0.0
210.0,40.41,-3.70126,0.0,0.0
211.0,40.4101,-3.68947,0.0,0.0
212.0,40.4103,-3.65412,0.0,0.0
213.0,40.4103,-3.64233,0.0,0.0
214.0,40.4098,-3.73661,1.2211049942309646,2.052976788657203
215.0,40.4098,-3.72483,0.11254876842051002,0.11254876842051002
216.0,40.4099,-3.71304,0.0,0.0
217.0,40.4106,-3.58341,0.0,0.0
218.0,40.4107,-3.57162,0.0,0.0
219.0,40.4104,-3.63055,0.0,0.0
220.0,40.4105,-3.61876,0.0,0.0
221.0,40.4109,-3.53627,0.0,0.0
222.0,40.4109,-3.52448,0.0,0.0
223.0,40.4105,-3.60698,0.0,0.0
224.0,40.4106,-3.59519,0.0,0.0
225.0,40.4096,-3.76018,12.701118066068544,12.701118066068544
226.0,40.4097,-3.7484,17.087157495643115,23.320035949511873
227.0,40.4195,-3.61885,0.0,0.0
228.0,40.4195,-3.60706,0.0,0.0
229.0,40.4189,-3.72493,0.0,0.0
230.0,40.4188,-3.73671,0.0,0.0
231.0,40.4193,-3.64242,0.0,0.0
232.0,40.4194,-3.63063,0.0,0.0
233.0,40.4196,-3.59527,0.0,0.0
234.0,40.4197,-3.58349,0.0,0.0
235.0,40.4189,-3.71314,0.0,0.0
236.0,40.419,-3.70135,0.0,0.0
237.0,40.4199,-3.52455,0.0,0.0
238.0,40.4186,-3.76029,0.0,0.0
239.0,40.4187,-3.7485,0.0,0.0
241.0,40.4192,-3.66599,0.0,0.0
242.0,40.4193,-3.65421,0.0,0.0
243.0,40.4191,-3.68957,0.0,0.0
244.0,40.4191,-3.67778,0.0,0.0
245.0,40.4199,-3.53634,0.0,0.0
246.0,40.4185,-3.78386,0.0,0.0
247.0,40.4185,-3.77207,0.0,0.0
248.0,40.4282,-3.66608,0.0,0.0
249.0,40.4282,-3.67787,0.0,0.0
250.0,40.4287,-3.57177,0.0,0.0
251.0,40.4283,-3.65429,0.0,0.0
252.0,40.4285,-3.60714,0.0,0.0
254.0,40.428,-3.70145,0.0,0.0
255.0,40.4281,-3.68966,0.0,0.0
256.0,40.4285,-3.61893,0.0,0.0
258.0,40.4276,-3.76039,0.0,0.0
259.0,40.4279,-3.72502,0.0,0.0
260.0,40.4279,-3.71323,0.0,0.0
261.0,40.4286,-3.59535,0.0,0.0
262.0,40.4287,-3.58356,0.0,0.0
263.0,40.4277,-3.7486,0.0,0.0
264.0,40.4278,-3.73681,0.0,0.0
265.0,40.4284,-3.6425,0.0,0.0
266.0,40.4284,-3.63072,0.0,0.0
267.0,40.4378,-3.54827,0.0,0.0
268.0,40.4378,-3.56006,0.0,0.0
269.0,40.4374,-3.6308,0.0,0.0
270.0,40.4369,-3.72512,0.0,0.0
272.0,40.4368,-3.73691,0.0,0.0
273.0,40.4372,-3.66617,0.0,0.0
274.0,40.4369,-3.71333,0.0,0.0
275.0,40.437,-3.70154,0.0,0.0
276.0,40.4377,-3.58364,0.0,0.0
277.0,40.4377,-3.57185,0.0,0.0
278.0,40.4371,-3.68975,0.0,0.0
279.0,40.4372,-3.67796,0.0,0.0
280.0,40.4375,-3.61901,0.0,0.0
281.0,40.4373,-3.65438,0.0,0.0
282.0,40.4374,-3.64259,0.0,0.0
283.0,40.4366,-3.76049,0.0,0.0
284.0,40.4367,-3.7487,0.0,0.0
285.0,40.4376,-3.60722,0.0,0.0
286.0,40.4376,-3.59543,0.0,0.0
287.0,40.4459,-3.72522,0.0,0.0
288.0,40.4462,-3.66626,0.0,0.0
289.0,40.4458,-3.73701,0.0,0.0
290.0,40.446,-3.71343,0.0,0.0
291.0,40.4462,-3.67805,0.0,0.0
292.0,40.4466,-3.6073,0.0,0.0
293.0,40.4463,-3.65447,0.0,0.0
294.0,40.4465,-3.61909,0.0,0.0
295.0,40.4466,-3.59551,0.0,0.0
296.0,40.4467,-3.58372,0.0,0.0
297.0,40.4469,-3.54834,0.0,0.0
298.0,40.4457,-3.76059,0.0,0.0
299.0,40.4457,-3.7488,0.0,0.0
300.0,40.446,-3.70163,0.0,0.0
301.0,40.4461,-3.68984,0.0,0.0
302.0,40.4467,-3.57193,0.0,0.0
303.0,40.4468,-3.56014,0.0,0.0
304.0,40.4464,-3.64268,0.0,0.0
305.0,40.4464,-3.63088,0.0,0.0
306.0,40.4469,-3.53655,0.0,0.0
307.0,40.4454,-3.79596,0.0,0.0
308.0,40.4455,-3.78417,0.0,0.0
309.0,40.4456,-3.77238,0.0,0.0
310.0,40.4557,-3.572,0.0,0.0
311.0,40.456,-3.52483,0.0,0.0
312.0,40.4552,-3.66635,0.0,0.0
313.0,40.4549,-3.72531,0.0,0.0
314.0,40.4556,-3.60738,0.0,0.0
315.0,40.4545,-3.78428,0.0,0.0
316.0,40.4551,-3.68993,0.0,0.0
317.0,40.4552,-3.67814,0.0,0.0
318.0,40.4558,-3.56021,0.0,0.0
319.0,40.455,-3.71352,0.0,0.0
320.0,40.455,-3.70173,0.0,0.0
321.0,40.4553,-3.65456,0.0,0.0
322.0,40.4554,-3.64276,0.0,0.0
323.0,40.4547,-3.7489,0.0,0.0
324.0,40.4548,-3.73711,0.0,0.0
325.0,40.4559,-3.54842,0.0,0.0
326.0,40.4559,-3.53662,0.0,0.0
327.0,40.4554,-3.63097,0.0,0.0
328.0,40.4555,-3.61918,0.0,0.0
329.0,40.4546,-3.77248,0.0,0.0
330.0,40.4547,-3.76069,0.0,0.0
331.0,40.4556,-3.59559,0.0,0.0
332.0,40.4557,-3.5838,0.0,0.0
333.0,40.4544,-3.79607,0.0,0.0
334.0,40.4646,-3.60746,0.0,0.0
