name,lanes,road_capacity_from_conversion,highway,oneway
Upper Hokien Street,,1,residential,yes
Marymount Road,,3,primary,yes
Marymount Road,,3,primary,yes
Raffles Quay,,3,primary,yes
Marymount Road,,3,primary,yes
Lornie Road,,4,trunk_link,yes
Toa Payoh North Interchange,,4,trunk_link,yes
South Buona Vista Road,,3,primary,yes
Lorong 1 Toa Payoh,,3,secondary,yes
Marina Coastal Drive,,2,tertiary,yes
Cecil Street,,3,secondary,yes
Telok Ayer Street,,1,residential,
Maxwell Road,,3,secondary,yes
Grange Road,,3,primary,yes
Lorong Chuan,,3,secondary,yes
Lorong Chuan,,3,secondary,yes
,,3,primary,yes
Lorong Chuan,,3,secondary,
Serangoon Garden Circus,,1,residential,
Marymount Road,,3,primary,yes
Serangoon Garden Way,,3,secondary,
,,4,motorway_link,yes
Leng Kee Road,,3,primary,-1
Commonwealth Avenue West,,3,primary,yes
Commonwealth Avenue,,3,primary,yes
Farleigh Avenue,,1,residential,yes
Chartwell Drive,,1,residential,
Kim Keat Flyover,,4,motorway_link,yes
Grange Road,,3,primary,yes
Lorong 8 Toa Payoh,,1,residential,
Fullerton Road,,3,secondary,yes
Esplanade Drive,,3,primary,yes
Esplanade Drive,,3,primary,yes
Fullerton Road,,3,secondary,yes
Robinson Road,,3,primary,yes
Boon Lay Way,,3,primary,yes
Paya Lebar Road,,3,primary,yes
Boon Lay Way,,3,primary,yes
Geylang Road,,3,primary,yes
Cantonment Road,3,3,primary,yes
,,3,primary,yes
West Coast Highway,,4,trunk,yes
Central Expressway,,4,motorway,yes
Kent Ridge Crescent,,1,residential,yes
,,1,service,
Kallang Road,,3,primary,yes
Dover Rise,,1,residential,
Lim Teck Kim Road,,1,residential,yes
,,4,trunk_link,yes
,,3,primary_link,yes
,,3,primary_link,yes
Newton Circus,,3,primary,yes
Newton Flyover,,3,primary,yes
,,4,motorway_link,yes
Tanah Merah Flyover,,3,primary,yes
Tanah Merah Flyover,,4,motorway_link,yes
Newton Flyover,,3,primary,yes
Newton Flyover,,3,primary,yes
Newton Flyover,,3,primary,yes
Bukit Timah Road,,3,primary,yes
Marymount Lane,,3,primary,yes
Marymount Lane,,3,primary,yes
Adam Flyover,,4,trunk,yes
Bukit Ho Swee Link,,1,residential,
Upper Changi Road East,,3,primary,yes
Jln Bkt Ho Swee,,1,residential,yes
Upper Changi Road East,,3,primary,yes
Farrer Road,4,4,trunk,yes
,,4,trunk_link,yes
,,1,residential,yes
Bukit Timah Road,,3,primary,yes
Cranwell Road,,1,residential,
Cranwell Road,,1,residential,
Hendon road,,1,residential,
Loyang Avenue,,3,primary,yes
Loyang Avenue,,3,primary,yes
Hougang Avenue 10,,3,secondary,yes
Anchorvale Link,,1,residential,
,,4,trunk_link,yes
,,3,primary_link,yes
,,3,primary_link,yes
,,4,trunk_link,yes
Farrer Road,,4,trunk,yes
Buangkok Drive,,3,primary,yes
,,2,tertiary,yes
,,2,tertiary,yes
Hougang Avenue 4,,3,secondary,yes
,,3,secondary,yes
Hougang Avenue 9,,3,secondary,
Hougang Street 61,,1,residential,
,,1,residential,
Dunearn Road,,3,primary,yes
Dunearn Road,,3,primary,yes
Adam Road,,4,trunk,yes
Adam Road,,4,trunk,yes
,,3,primary_link,yes
Upper Changi Flyover,,3,primary,yes
Upper Changi Flyover,,3,primary,yes
Nicoll Drive,,1,residential,
New Upper Changi Road,,3,primary,yes
Sengkang Central,,2,tertiary,yes
New Upper Changi Road,,3,primary,yes
,,1,residential,yes
Havelock Road,,3,primary,yes
Punggol Road,,1,residential,
Ulu Pandan Road,,3,primary,yes
Ulu Pandan Road,,3,primary,yes
Newton Flyover,,3,primary,yes
Ubi Road 3,,1,residential,
Bukit Ho Swee Crescent,,1,residential,yes
,,4,motorway_link,yes
Thomson Road,,1,service,yes
,,4,motorway_link,yes
Ganges Avenue,,3,primary,yes
,,3,secondary,yes
Lower Delta Road,,3,primary,yes
,,1,residential,
Anchorvale Drive,,2,tertiary,yes
Sengkang East Avenue,,3,secondary,yes
Sengkang Square,,2,tertiary,yes
Sengkang East Road,,3,primary,yes
Compassvale Road,,2,tertiary,
Buangkok Green,,3,primary,yes
Jalan Bukit Merah,,3,primary,yes
Lornie Road,3,4,trunk,yes
Adam Road,,4,trunk,yes
,,4,trunk,yes
Lornie Road,,3,primary,yes
Adam Road,,4,trunk,yes
Rivervale Drive,,2,tertiary,yes
Changi Coast Road,,4,motorway_link,yes
Xilin Avenue,,3,primary,yes
Adam Road,,4,trunk,yes
,,4,motorway_link,yes
Xilin Avenue,,3,primary,yes
,,3,primary,yes
,,4,motorway_link,yes
Changi Coast Road,,3,primary,yes
Ubi Avenue 2,,3,secondary,yes
Rivervale Crescent,,1,residential,
Ubi Avenue 3,,3,secondary,
,,1,residential,
,,4,motorway_link,yes
Compassvale Bow,,1,residential,
,,4,motorway_link,yes
,,3,secondary,yes
,,4,trunk_link,yes
,,4,trunk_link,yes
,,4,trunk_link,yes
,,4,trunk_link,yes
,,3,primary_link,yes
Buangkok Green,,3,primary,yes
Ang Mo Kio Avenue 8,,3,primary,yes
Ang Mo Kio Avenue 8,,3,primary,yes
Hougang Avenue 4,,1,residential,
Upper Serangoon Road,,3,primary,
,,4,motorway_link,yes
,,4,motorway_link,yes
Loyang Avenue,,3,primary,yes
,,3,primary_link,yes
Sengkang East Drive,,3,primary,yes
,,3,primary_link,yes
Sengkang Square,,2,tertiary,yes
Loyang Avenue,,3,primary,
Mount Faber Road,,1,residential,yes
